,Open,High,Low,Close,Volume,Log return %
2021-07-07,84.12,86.82,83.73,86.82,4738700.0,3.1592659036948385
2021-07-06,86.24,86.82,84.12,84.12,4706900.0,-2.488975632618789
2021-07-05,87.11,87.4,85.66,86.24,2931000.0,-1.0037580670113695
2021-07-02,87.89,87.98,87.11,87.11,2750900.0,-0.8914344745753255
2021-07-01,87.4,88.27,87.4,87.89,3811500.0,0.5590749915064099
2021-06-30,87.98,88.08,87.21,87.4,2115600.0,-0.6614233259083929
2021-06-29,86.24,88.66,86.05,87.98,4368100.0,1.9975408759886788
2021-06-28,86.73,87.21,86.05,86.24,1847900.0,-0.566573753567742
2021-06-25,85.76,86.92,85.76,86.73,2079300.0,1.1247147373872532
2021-06-24,87.02,87.21,85.37,85.76,4225000.0,-1.4585279970042138
2021-06-23,87.6,87.79,86.73,87.02,3357300.0,-0.6643020649811725
2021-06-22,87.6,88.47,87.6,87.6,2242800.0,0.0
2021-06-21,89.05,89.05,87.6,87.6,4193600.0,-1.6417011793324918
2021-06-18,87.98,89.63,88.37,89.05,2971800.0,1.2088493815096917
2021-06-17,88.76,89.14,87.79,87.98,2388800.0,-0.8826582143819465
2021-06-16,89.82,89.92,88.27,88.76,3041200.0,-1.1871569595198705
2021-06-15,89.43,90.11,89.05,89.82,4534800.0,0.4351471301502143
2021-06-14,88.95,90.4,88.47,89.43,4875100.0,0.5381782246245568
2021-06-11,89.14,89.43,88.18,88.95,2940400.0,-0.21337534065656227
2021-06-10,86.15,90.5,85.66,89.14,5619300.0,3.411820454447117
2021-06-09,86.73,87.11,85.86,86.15,3013500.0,-0.6709881722425747
2021-06-08,86.44,88.27,86.44,86.73,5477700.0,0.33493130576792557
2021-06-07,85.47,86.63,85.08,86.44,3736600.0,1.1285094460758598
2021-06-04,86.14,86.9,85.09,85.47,4564400.0,-0.7808442448037871
2021-06-03,85.37,86.71,85.76,86.14,3629000.0,0.8979128603749448
2021-06-02,85.85,85.85,84.99,85.37,3672400.0,-0.5606836321269354
2021-06-01,86.43,86.62,85.85,85.85,2339900.0,-0.6733250421062422
2021-05-31,87.0,87.86,86.14,86.43,3095900.0,-0.6573280890036802
2021-05-28,86.43,87.57,86.33,87.0,3122200.0,0.6573280890036736
2021-05-27,86.9,87.48,85.95,86.43,2924300.0,-0.5423194506799537
2021-05-26,86.43,87.76,85.28,86.9,3773300.0,0.5423194506799623
2021-05-25,87.09,87.09,85.95,86.43,2791200.0,-0.7607228940101337
2021-05-24,85.18,87.76,85.47,87.09,4349800.0,2.2175402209580684
2021-05-21,84.04,86.71,83.18,85.18,3942800.0,1.3473788518267664
2021-05-20,83.56,84.13,83.08,84.04,2800500.0,0.5727939288434782
2021-05-19,83.08,84.99,83.18,83.56,3526100.0,0.5760937680453604
2021-05-18,83.27,84.04,82.89,83.08,2970100.0,-0.2284341239816415
2021-05-17,85.47,85.95,83.27,83.27,5001300.0,-2.6077096930198684
2021-05-14,86.43,87.09,85.47,85.47,4391200.0,-1.1169400586620337
2021-05-13,87.67,87.67,86.43,86.43,3118400.0,-1.42449278359474
2021-05-12,87.09,88.05,85.95,87.67,3199300.0,0.663769889584604
2021-05-11,88.81,90.25,87.09,87.09,4197000.0,-1.9557189565764526
2021-05-10,83.08,88.81,82.22,88.81,8176900.0,6.669525726250128
2021-05-07,85.57,85.57,82.89,83.08,6744500.0,-2.9530755422051853
2021-05-06,87.86,87.86,85.57,85.57,7448600.0,-2.64098841176701
2021-05-05,87.48,88.81,87.48,87.86,3792300.0,0.43344427390663515
2021-05-04,89.29,89.29,87.38,87.48,4112800.0,-2.047930372055801
2021-04-29,89.48,89.96,87.38,89.29,6499700.0,-0.21256370928037552
2021-04-28,91.39,91.49,89.29,89.48,5027100.0,-2.1120926662181376
2021-04-27,91.68,92.15,90.72,91.39,3149400.0,-0.31681896823192846
2021-04-26,95.02,95.02,91.68,91.68,5045600.0,-3.5783142792345735
2021-04-23,93.59,95.4,92.44,95.02,3556800.0,1.5163855589610047
2021-04-22,94.83,95.02,92.63,93.59,3166300.0,-1.3162274726470873
2021-04-20,91.77,96.45,92.54,94.83,6987200.0,3.2800368064714323
2021-04-19,92.54,93.11,90.82,91.77,5722900.0,-0.8355536647931835
2021-04-16,94.64,94.64,92.06,92.54,4876400.0,-2.2439236191277754
2021-04-15,94.83,95.97,94.45,94.64,3549400.0,-0.2005595225504653
2021-04-14,95.5,95.5,94.45,94.83,3498500.0,-0.7040432591048508
2021-04-13,95.5,97.12,95.21,95.5,3799100.0,0.0
2021-04-12,95.31,95.78,95.02,95.5,3632400.0,0.1991510537149973
2021-04-09,95.4,95.5,94.73,95.31,2716700.0,-0.09438415047064241
2021-04-08,95.59,95.97,94.92,95.4,3603800.0,-0.19896336214303992
2021-04-07,96.93,96.93,95.5,95.59,3503700.0,-1.3920856428845398
2021-04-06,97.98,98.08,96.26,96.93,3452600.0,-1.0774307705912127
2021-04-05,98.08,99.79,97.6,97.98,2822700.0,-0.10200959774724377
2021-04-02,96.45,99.32,97.5,98.08,3840000.0,1.6758732836163075
2021-04-01,93.97,96.45,93.59,96.45,5594000.0,2.604915695676453
2021-03-31,94.73,94.73,93.59,93.97,2815600.0,-0.8055157492469602
2021-03-30,94.54,95.59,94.16,94.73,2590400.0,0.20077145223528553
2021-03-29,93.01,95.4,93.4,94.54,2790300.0,1.6316011110714772
2021-03-26,94.06,94.06,92.25,93.01,3653700.0,-1.1225862262526325
2021-03-25,94.26,95.21,93.87,94.06,3152700.0,-0.21240449786829496
2021-03-24,95.69,95.69,94.06,94.26,3192200.0,-1.5056878295586593
2021-03-23,96.26,96.26,95.21,95.69,4554300.0,-0.5939064083791898
2021-03-22,97.12,97.22,96.07,96.26,3416300.0,-0.889446343622481
2021-03-19,97.88,97.88,96.83,97.12,2339400.0,-0.7794911263282744
2021-03-18,95.97,97.88,96.45,97.88,2553400.0,1.9706595944934469
2021-03-17,96.45,96.45,95.59,95.97,3568400.0,-0.49890967222017446
2021-03-16,97.6,97.69,95.59,96.45,4121100.0,-1.1852754067308626
2021-03-15,97.6,98.36,97.5,97.6,2379400.0,0.0
2021-03-12,98.17,98.65,97.12,97.6,2704600.0,-0.5823176285383298
2021-03-11,96.55,99.13,97.5,98.17,2417000.0,1.6639660829906657
