"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2020","108,800.0","109,200.0","109,400.0","108,000.0","1.01M","0.00%"
"Nov 05, 2020","108,800.0","108,000.0","109,400.0","108,000.0","1.89M","0.74%"
"Nov 04, 2020","108,000.0","108,000.0","109,400.0","107,400.0","1.34M","0.28%"
"Nov 03, 2020","107,700.0","107,600.0","108,000.0","107,000.0","870.23K","0.09%"
"Nov 02, 2020","107,600.0","107,000.0","108,000.0","107,000.0","867.34K","-0.37%"
"Oct 30, 2020","108,000.0","107,000.0","108,000.0","105,300.0","2.68M","1.03%"
"Oct 29, 2020","106,900.0","106,500.0","107,200.0","105,600.0","1.72M","-0.47%"
"Oct 28, 2020","107,400.0","109,000.0","109,000.0","106,500.0","2.61M","-2.01%"
"Oct 27, 2020","109,600.0","110,000.0","111,000.0","109,100.0","1.72M","-0.81%"
"Oct 26, 2020","110,500.0","111,000.0","112,500.0","110,000.0","2.31M","0.45%"
"Oct 23, 2020","110,000.0","107,500.0","110,000.0","107,100.0","2.95M","3.09%"
"Oct 22, 2020","106,700.0","106,800.0","106,800.0","105,100.0","2.42M","0.28%"
"Oct 21, 2020","106,400.0","106,500.0","106,900.0","106,000.0","805.55K","0.19%"
"Oct 20, 2020","106,200.0","107,300.0","107,600.0","106,000.0","2.15M","-1.39%"
"Oct 19, 2020","107,700.0","107,400.0","108,300.0","107,400.0","1.62M","0.28%"
"Oct 16, 2020","107,400.0","107,500.0","108,000.0","106,900.0","1.64M","-0.09%"
"Oct 15, 2020","107,500.0","107,800.0","107,900.0","107,000.0","1.85M","0.09%"
"Oct 14, 2020","107,400.0","107,100.0","107,700.0","106,800.0","1.30M","0.28%"
"Oct 13, 2020","107,100.0","107,000.0","108,000.0","106,900.0","858.55K","0.09%"
"Oct 12, 2020","107,000.0","106,800.0","107,800.0","106,600.0","1.21M","0.28%"
"Oct 09, 2020","106,700.0","107,000.0","107,100.0","106,600.0","980.97K","-0.19%"
"Oct 08, 2020","106,900.0","107,900.0","107,900.0","106,800.0","1.33M","-1.02%"
"Oct 07, 2020","108,000.0","106,800.0","108,000.0","106,500.0","2.15M","0.93%"
"Oct 06, 2020","107,000.0","107,300.0","108,000.0","106,500.0","2.04M","-0.28%"
"Oct 05, 2020","107,300.0","108,000.0","109,000.0","107,000.0","1.43M","-0.65%"
"Oct 02, 2020","108,000.0","109,500.0","110,100.0","106,700.0","2.86M","-1.19%"
"Oct 01, 2020","109,300.0","109,000.0","109,400.0","107,900.0","1.70M","0.37%"
"Sep 30, 2020","108,900.0","110,000.0","111,400.0","108,500.0","1.43M","-0.27%"
"Sep 29, 2020","109,200.0","110,000.0","112,600.0","108,000.0","5.19M","3.48%"
"Sep 28, 2020","105,528.0","105,281.0","105,775.0","104,705.0","2.60M","0.47%"
"Sep 25, 2020","105,034.0","105,117.0","105,281.0","104,870.0","1.21M","0.31%"
"Sep 24, 2020","104,705.0","105,446.0","106,021.0","104,705.0","1.81M","-1.47%"
"Sep 23, 2020","106,268.0","106,844.0","107,091.0","106,186.0","1.25M","-0.31%"
"Sep 22, 2020","106,597.0","107,008.0","107,091.0","105,692.0","1.49M","-0.38%"
"Sep 21, 2020","107,008.0","103,965.0","107,091.0","103,965.0","3.14M","2.93%"
"Sep 18, 2020","103,965.0","102,484.0","103,965.0","102,155.0","1.47M","1.53%"
"Sep 17, 2020","102,402.0","101,991.0","103,472.0","101,991.0","1.65M","0.24%"
"Sep 16, 2020","102,155.0","102,814.0","102,814.0","101,909.0","869.41K","-0.48%"
"Sep 15, 2020","102,649.0","102,155.0","102,731.0","101,991.0","1.06M","0.48%"
"Sep 14, 2020","102,155.0","102,320.0","102,814.0","101,991.0","1.43M","0.32%"
"Sep 11, 2020","101,826.0","102,155.0","102,567.0","101,580.0","1.15M","-0.72%"
"Sep 10, 2020","102,567.0","102,814.0","103,143.0","102,320.0","1.02M","0.73%"
"Sep 09, 2020","101,826.0","100,757.0","101,909.0","99,935.0","1.95M","-0.32%"
"Sep 08, 2020","102,155.0","103,554.0","104,788.0","101,909.0","2.17M","-1.43%"
"Sep 07, 2020","103,636.0","102,814.0","105,610.0","102,731.0","2.61M","0.80%"
"Sep 04, 2020","102,814.0","101,744.0","102,814.0","101,251.0","2.05M","0.24%"
"Sep 03, 2020","102,567.0","101,580.0","102,649.0","101,580.0","2.42M","1.22%"
"Sep 01, 2020","101,333.0","99,523.0","101,333.0","98,865.0","1.74M","1.82%"
"Aug 31, 2020","99,523.0","98,948.0","99,523.0","98,290.0","1.96M","1.42%"
"Aug 28, 2020","98,125.0","96,891.0","98,701.0","96,398.0","1.61M","1.79%"
"Aug 27, 2020","96,398.0","96,645.0","96,974.0","96,233.0","959.48K","0.09%"
"Aug 26, 2020","96,316.0","97,056.0","97,220.0","96,151.0","2.31M","-0.17%"
"Aug 25, 2020","96,480.0","96,233.0","96,974.0","96,069.0","2.03M","0.69%"
"Aug 24, 2020","95,822.0","95,822.0","96,727.0","95,411.0","1.83M","0.78%"
"Aug 21, 2020","95,082.0","95,000.0","95,411.0","94,671.0","1.06M","0.35%"
"Aug 20, 2020","94,753.0","94,835.0","95,246.0","94,259.0","1.51M","-0.09%"
"Aug 19, 2020","94,835.0","95,411.0","95,411.0","94,506.0","1.18M","-0.26%"
"Aug 18, 2020","95,082.0","96,233.0","96,562.0","95,082.0","725.48K","-1.20%"
"Aug 17, 2020","96,233.0","96,233.0","96,974.0","94,835.0","1.09M","0.26%"
"Aug 14, 2020","95,987.0","95,904.0","97,056.0","95,575.0","1.95M","0.26%"
"Aug 13, 2020","95,740.0","95,411.0","95,904.0","95,329.0","1.49M","0.69%"
"Aug 12, 2020","95,082.0","94,177.0","95,329.0","94,177.0","1.74M","0.96%"
"Aug 11, 2020","94,177.0","94,506.0","94,588.0","93,766.0","1.02M","0.00%"
"Aug 10, 2020","94,177.0","95,411.0","95,822.0","94,177.0","1.70M","-0.87%"
"Aug 07, 2020","95,000.0","94,588.0","95,411.0","94,424.0","1.38M","0.61%"
"Aug 06, 2020","94,424.0","92,285.0","95,411.0","92,203.0","1.63M","2.41%"
"Aug 05, 2020","92,203.0","91,710.0","93,437.0","90,476.0","1.07M","0.72%"
"Aug 04, 2020","91,545.0","91,298.0","91,545.0","90,394.0","918.20K","1.92%"
"Aug 03, 2020","89,818.0","88,831.0","90,476.0","88,584.0","1.03M","2.06%"
"Jul 31, 2020","88,008.0","88,008.0","89,818.0","87,597.0","1.01M","-1.83%"
"Jul 30, 2020","89,653.0","88,831.0","90,065.0","87,844.0","1.23M","2.83%"
"Jul 29, 2020","87,186.0","89,242.0","89,571.0","86,775.0","1.80M","-3.55%"
"Jul 28, 2020","90,394.0","85,541.0","90,394.0","85,541.0","1.67M","6.29%"
"Jul 27, 2020","85,047.0","88,091.0","88,502.0","85,047.0","3.06M","-6.93%"
"Jul 24, 2020","91,381.0","93,930.0","93,930.0","89,653.0","2.78M","-2.71%"
"Jul 23, 2020","93,930.0","93,930.0","94,259.0","93,355.0","919.80K","0.09%"
"Jul 22, 2020","93,848.0","94,917.0","95,411.0","93,848.0","1.26M","-1.64%"
"Jul 21, 2020","95,411.0","95,164.0","95,658.0","94,259.0","1.94M","0.26%"
"Jul 20, 2020","95,164.0","95,411.0","95,987.0","95,000.0","569.64K","-0.94%"
"Jul 17, 2020","96,069.0","95,987.0","96,562.0","95,822.0","700.21K","-0.60%"
"Jul 16, 2020","96,645.0","95,987.0","96,645.0","95,575.0","1.33M","1.29%"
"Jul 15, 2020","95,411.0","95,411.0","96,233.0","95,411.0","1.22M","0.69%"
"Jul 14, 2020","94,753.0","93,930.0","94,753.0","93,684.0","877.40K","0.35%"
"Jul 13, 2020","94,424.0","94,835.0","95,246.0","94,013.0","1.13M","-0.43%"
"Jul 10, 2020","94,835.0","95,411.0","95,740.0","94,835.0","812.62K","-0.52%"
"Jul 09, 2020","95,329.0","95,000.0","95,987.0","95,000.0","1.87M","0.35%"
"Jul 08, 2020","95,000.0","95,411.0","95,411.0","95,000.0","661.57K","-0.43%"
"Jul 07, 2020","95,411.0","95,822.0","96,316.0","95,411.0","1.23M","-0.43%"
"Jul 06, 2020","95,822.0","94,177.0","95,904.0","94,013.0","1.58M","2.10%"
"Jul 03, 2020","93,848.0","92,943.0","93,930.0","92,779.0","875.15K","0.97%"
"Jul 02, 2020","92,943.0","94,424.0","94,506.0","92,943.0","864.58K","-1.48%"
"Jul 01, 2020","94,342.0","92,697.0","94,588.0","92,121.0","540.02K","1.77%"
"Jun 30, 2020","92,697.0","92,943.0","93,355.0","92,039.0","957.55K","0.71%"
"Jun 29, 2020","92,039.0","93,766.0","94,013.0","90,558.0","1.82M","-2.19%"
"Jun 26, 2020","94,095.0","94,663.0","95,069.0","93,689.0","594.90K","-0.43%"
"Jun 25, 2020","94,501.0","94,582.0","94,582.0","93,608.0","687.32K","-0.60%"
"Jun 24, 2020","95,069.0","94,501.0","96,125.0","94,501.0","901.15K","0.95%"
"Jun 23, 2020","94,176.0","94,176.0","94,501.0","93,851.0","1.28M","0.52%"
"Jun 22, 2020","93,689.0","93,364.0","94,095.0","93,202.0","1.04M","0.35%"
"Jun 19, 2020","93,364.0","93,527.0","94,582.0","93,364.0","1.50M","-0.17%"
"Jun 18, 2020","93,527.0","93,851.0","94,663.0","92,634.0","627.79K","-0.35%"
"Jun 17, 2020","93,851.0","94,988.0","95,150.0","93,689.0","616.28K","-1.20%"
"Jun 16, 2020","94,988.0","93,040.0","95,394.0","92,552.0","1.01M","4.46%"
"Jun 15, 2020","90,929.0","97,424.0","98,154.0","90,929.0","2.47M","-5.08%"
"Jun 12, 2020","95,800.0","95,800.0","97,261.0","93,040.0","2.87M","-3.52%"
"Jun 11, 2020","99,291.0","99,859.0","101,483.0","98,235.0","1.32M","-0.57%"
"Jun 10, 2020","99,859.0","102,295.0","102,295.0","99,697.0","1.49M","-1.60%"
"Jun 09, 2020","101,483.0","99,940.0","102,295.0","99,940.0","2.05M","1.79%"
"Jun 08, 2020","99,697.0","96,774.0","100,184.0","96,693.0","1.70M","3.02%"
"Jun 05, 2020","96,774.0","95,637.0","96,774.0","94,744.0","1.29M","1.19%"
"Jun 04, 2020","95,637.0","94,988.0","95,719.0","94,988.0","882.50K","1.03%"
"Jun 03, 2020","94,663.0","94,338.0","95,881.0","93,851.0","1.59M","0.52%"
"Jun 02, 2020","94,176.0","94,257.0","94,988.0","93,933.0","1.07M","-0.09%"
"Jun 01, 2020","94,257.0","93,445.0","94,988.0","93,445.0","1.26M","0.96%"
"May 29, 2020","93,364.0","92,146.0","93,527.0","92,146.0","1.44M","0.17%"
"May 28, 2020","93,202.0","93,364.0","94,176.0","93,202.0","1.21M","-0.17%"
"May 27, 2020","93,364.0","95,556.0","95,637.0","93,364.0","1.33M","-2.21%"
"May 26, 2020","95,475.0","95,800.0","95,800.0","93,527.0","1.18M","0.00%"
"May 25, 2020","95,475.0","92,958.0","95,475.0","92,634.0","1.90M","2.80%"
"May 22, 2020","92,877.0","92,877.0","93,202.0","92,146.0","1.30M","-0.52%"
"May 21, 2020","93,364.0","92,552.0","93,364.0","92,146.0","1.90M","0.88%"
